# Constructed from biom file
#OTU ID	SaSa2.RNA	AnMa1.DNA	BoOr1.DNA	SaSa9.DNA	BoOr2.RNA	AnMa5.DNA	BoOr8.RNA	BoOr4.RNA	SaSa7.DNA	AnMa2.RNA	SaSa5.DNA	SaSa1.DNA	SaSa8.RNA	AnMa3.DNA	AnMa7.DNA	AnMa4.RNA	BoOr9.DNA	SaSa3.DNA	AnMa10.RNA	BoOr10.RNA	BoOr3.DNA	SaSa6.RNA	AnMa9.DNA	BoOr5.DNA	BoOr7.DNA	SaSa4.RNA	AnMa6.RNA	SaSa10.RNA	AnMa8.RNA	BoOr6.RNA
76d2032108822bcfaa90a4873f7a51aa	64.0	0.0	15.0	0.0	8.0	5.0	7.0	22.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0
1e79c99ee01b747ac38b8288f163386c	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e5c80b4a23b96b2fa35b6da6cac2bf73	31.0	0.0	7.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
5d42d94169280bb78cf47e7f04329658	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0
4fe49fe5c1015cb0a948e5b8a085d860	27.0	3.0	55.0	0.0	0.0	10.0	0.0	76.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94ca1389331a3a9230237844cfd545f6	26.0	2.0	13.0	33.0	3.0	4.0	56.0	9.0	4.0	6.0	5.0	2.0	0.0	2.0	0.0	0.0	39.0	0.0	0.0	20.0	0.0	0.0	2.0	4.0	2.0	0.0	0.0	8.0	0.0	0.0
dab7be63fbd4afbdec244d9513def407	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
185df2b73b4805164470dfaea2d05223	21.0	0.0	55.0	1.0	0.0	0.0	17.0	23.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	19.0	4.0	0.0	5.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
1b448e00c078f81e49a61933072345d2	21.0	0.0	56.0	41.0	66.0	24.0	241.0	73.0	13.0	7.0	26.0	3.0	5.0	0.0	0.0	5.0	160.0	0.0	0.0	94.0	13.0	5.0	3.0	59.0	24.0	23.0	0.0	23.0	2.0	2.0
c5d01fbd1e4b1d8a1a943c0c2d930610	21.0	0.0	26.0	2.0	840.0	0.0	0.0	20.0	7.0	0.0	5.0	61.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	39.0	0.0	3.0	21.0	0.0	13.0	0.0	8.0	0.0	22.0
dacc78981d6b2cf5ceaf4f018a619d83	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
e0f1938338e6f9b8cf8408e672ee6cd1	18.0	5.0	7.0	0.0	0.0	3.0	3.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d4ec57f20a73b04d5222053fd28f88b1	17.0	0.0	0.0	0.0	39.0	0.0	9.0	10.0	5.0	0.0	11.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	20.0	0.0	1.0	0.0	16.0	0.0	0.0	0.0	5.0
ce0a2b868a2c7f32c37f8f61fa40eaa9	16.0	0.0	3.0	8.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	0.0	0.0
0186726921b80099034bbfc798619509	14.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7d452c3b0607078cc0e3a227cdf33b08	14.0	0.0	1.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
03a8f849ffbb035d7a70cc99057883ad	13.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
fcaff86a53b3caf428a2665ec8379289	13.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0
6d1b8ed13b116cded498058ab8a88d08	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
e6dfd15b38618c3c7ff0a025083f56d4	12.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
af69071aa9231b7be650d79bfa807549	12.0	0.0	1.0	6.0	0.0	2.0	0.0	2.0	2.0	0.0	7.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
deed1e834b190c2944781308a4f6d0d3	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35b6dde81c92eb7f66ca9f741da3514e	11.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7db70996ed1e4d3b7ac2e0ae73a05343	10.0	0.0	0.0	2.0	6.0	0.0	25.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	11.0
b2bd82395b4b54483bd4906df3e8b5d5	10.0	0.0	2.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fe3e3ae2292fe20e533f985b31489ead	9.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	11.0	0.0	8.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0
e23fd604176c9324aa62fda2ada3bc91	9.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
990c83d3b721c2fb03319551d808fc28	8.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7a65a3e1f8853c30d9be0b664420f83f	8.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0
65ad974d9aceecd94c35221f779eb1d2	8.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	2.0	2.0	0.0	3.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
955d8fcbb35e8bc04c8df0c6aae34d34	8.0	0.0	14.0	1.0	0.0	2.0	0.0	9.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
01b99cb344ed2530f7d80897ffe257a9	8.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b6944621720a61f8864c61ae0cb47391	7.0	0.0	0.0	3.0	3.0	12.0	23.0	6.0	4.0	0.0	2.0	3.0	2.0	4.0	0.0	7.0	0.0	0.0	0.0	22.0	2.0	2.0	0.0	5.0	7.0	3.0	0.0	4.0	0.0	0.0
515a2bd23e336329c798ef718ec6519d	7.0	0.0	4.0	6.0	6.0	0.0	0.0	0.0	11.0	0.0	3.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
a6783f6ae7fc1d8b0d6637f49d881419	7.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10b4255c2cdc13a352553b44a97cbd0f	6.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0
3253177a44672689e4e154e842d63e35	6.0	19.0	3.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
7f4909ae8d31a3995fa2c200c690a21f	6.0	0.0	3.0	0.0	0.0	3.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1519eae2900c96b2f7a287791e53d925	5.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
286302f6e8692be34d3a1751dac61cd0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0f310ccb1bc11b8c5cdae4945b637592	5.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3f157dc6113e037ad1f06cabb79ae120	5.0	0.0	12.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e467f28eeffd574c8c16a389e089a295	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
40cebed2a2a6465700df2d1713a40126	5.0	1.0	8.0	0.0	5.0	3.0	8.0	7.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	7.0	5.0	3.0	0.0	22.0	3.0	4.0	0.0	5.0	0.0	0.0
5b84a986e88b03272cd408e92b0a8d7a	5.0	0.0	5.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63fdc917fe545c384d69a3f473027603	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0
f8753b9f13abb306b57aedce2cf6e7d0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1b75626f6834620dc2c729a1a81f497a	4.0	0.0	3.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d3688bb4ad0f47c59827181fe3f140bf	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
a6a6601f3a675697e92bc24d32042929	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9af604229897c70de75a7740fe13e80d	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dc3e56436e3de26b261d60138d390ccf	4.0	0.0	0.0	2.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
85656dcbe20a9143f9ecd8e132364734	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
016cbc298d33133214af48f03bce031f	3.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
