
#OTU ID	EuWi1.RNA	EuWi2.DNA	EuWi3.DNA	EuWi5.DNA	EuWi4.DNA	EuWi3.RNA	EuWi5.RNA	EuWi4.RNA	EuWi2.RNA	EuWi1.DNA
35106a5f515b16489ff5f899d05fa4b9	777.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4adf9130667961895d46e89f9e74dc6c	673.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9af604229897c70de75a7740fe13e80d	203.0	209.0	183.0	209.0	177.0	132.0	80.0	198.0	164.0	52.0
95e0eb4360c754169478a253e5fa6686	101.0	119.0	161.0	127.0	87.0	57.0	49.0	49.0	142.0	30.0
0f2a155a57fe6d0bf34767080706b3e1	79.0	0.0	8.0	0.0	369.0	0.0	44.0	0.0	0.0	46.0
5423ef803850a519dd3a59044d047810	64.0	0.0	0.0	7.0	0.0	2.0	20.0	0.0	0.0	14.0
19165ad6285c75248358095679d24cc4	59.0	12.0	0.0	1.0	0.0	6.0	13.0	0.0	0.0	0.0
6fafd18a47eb31500b28af023c039b12	55.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2b8fcb7912392404543905f2c5b76c70	53.0	67.0	51.0	75.0	0.0	22.0	23.0	7.0	3.0	48.0
dc3e56436e3de26b261d60138d390ccf	50.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0
133e48266cb982c3f0fe221be21bfc4d	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a354ec289e19ef6280fdbdea3d51b579	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c9e07dad272f4f299dd6f713c44d1a6e	47.0	123.0	10.0	3.0	0.0	45.0	0.0	24.0	26.0	1.0
226003b5e7b747d315dd85efdcc75e50	46.0	113.0	22.0	4.0	0.0	2.0	61.0	23.0	0.0	56.0
e43c25dd7051d5e69d778a8846d83e93	45.0	71.0	86.0	36.0	0.0	0.0	15.0	0.0	35.0	5.0
ae8bdd4955b098d1251c2656fd806050	45.0	1.0	97.0	39.0	11.0	10.0	17.0	7.0	46.0	24.0
2f044594a8b21f519cf79073e2155560	44.0	221.0	46.0	37.0	25.0	12.0	0.0	13.0	0.0	12.0
1c77f5f31494131fcbb21fd9f52c7618	43.0	117.0	31.0	25.0	2.0	3.0	38.0	3.0	63.0	20.0
1b448e00c078f81e49a61933072345d2	42.0	267.0	27.0	31.0	119.0	39.0	106.0	210.0	136.0	41.0
b18b389447d758e7cb173b4b4f2ad960	42.0	0.0	17.0	0.0	0.0	12.0	2.0	0.0	0.0	6.0
097ccef7662941cf4e7528f93df0d5dc	40.0	13.0	7.0	81.0	0.0	10.0	34.0	18.0	0.0	0.0
4b90fbc017e330a84de98864557b7057	39.0	0.0	0.0	26.0	0.0	18.0	0.0	0.0	0.0	0.0
147f2c2c24c7e1b1c371d42a36816214	39.0	29.0	19.0	23.0	32.0	0.0	3.0	9.0	9.0	0.0
ae16585329e0282c11210e5c407968fc	39.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
71dc9baacf7e4bd72ee127a86a2e6857	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3d048bdd561657158106cea5e4400fda	38.0	0.0	0.0	17.0	0.0	25.0	0.0	106.0	0.0	0.0
0310f41e594c49368dde5c5993a7a5d0	37.0	0.0	0.0	13.0	3.0	0.0	2.0	0.0	0.0	317.0
cb645d3ab28078ed0d51815973c12226	36.0	0.0	27.0	0.0	0.0	34.0	0.0	41.0	0.0	0.0
