
#OTU ID	NoVi2.DNA	NoVi2.RNA	NoVi1.DNA	NoVi1.RNA	NoVi5.DNA	NoVi4.RNA	NoVi3.DNA	NoVi4.DNA	NoVi5.RNA	NoVi3.RNA
149bd003afc4f4dcb1ce23429c8918fb	2430.0	0.0	2210.0	584.0	1010.0	2472.0	1482.0	6.0	0.0	470.0
b1e4229e8feef110278ac6b0332e78aa	2337.0	0.0	1992.0	579.0	1449.0	2190.0	1855.0	13.0	0.0	511.0
4d569cf8a71662c9ccadc160279b1e27	1644.0	233.0	1066.0	213.0	693.0	1386.0	844.0	2.0	0.0	17.0
9e2871d5024002fa170134c22c006c39	1145.0	0.0	62.0	146.0	16.0	101.0	7.0	0.0	0.0	435.0
e0f1938338e6f9b8cf8408e672ee6cd1	1021.0	47.0	107.0	102.0	714.0	400.0	664.0	0.0	0.0	15.0
fae08f6b3b398e1cc9db1dd0572c8147	423.0	99.0	37.0	9.0	0.0	0.0	0.0	0.0	0.0	3.0
87d980b22c65ae7843e271b7561e1f23	356.0	3.0	68.0	45.0	101.0	212.0	138.0	0.0	0.0	529.0
40cebed2a2a6465700df2d1713a40126	313.0	64.0	106.0	27.0	58.0	120.0	154.0	0.0	0.0	0.0
4069e5a4a2f0d8d687a4c9d8e4b7ad6c	222.0	0.0	112.0	65.0	202.0	150.0	138.0	0.0	0.0	36.0
9390c28bf00bc098fec95db2dd8232f4	209.0	4.0	0.0	4.0	12.0	0.0	8.0	0.0	0.0	0.0
55c2494d2f31b6c3210a63e4596b8aaa	203.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
f6436e7085d15342388e67b55d692fb6	193.0	2.0	2.0	29.0	39.0	68.0	16.0	0.0	0.0	9.0
58954995ec7c5ddaf21c8662e7d4c200	193.0	0.0	0.0	0.0	120.0	0.0	41.0	0.0	0.0	0.0
4fe49fe5c1015cb0a948e5b8a085d860	172.0	492.0	204.0	35.0	11.0	116.0	91.0	8.0	0.0	0.0
2b7c641f340f0aa4efda1a395506e2e1	157.0	3.0	162.0	17.0	626.0	259.0	112.0	0.0	0.0	82.0
b6944621720a61f8864c61ae0cb47391	149.0	68.0	217.0	29.0	79.0	132.0	40.0	0.0	0.0	42.0
016cbc298d33133214af48f03bce031f	145.0	0.0	22.0	0.0	161.0	0.0	24.0	0.0	50.0	0.0
1b448e00c078f81e49a61933072345d2	144.0	95.0	294.0	37.0	145.0	178.0	265.0	3.0	0.0	199.0
dcbbd7824c46376eef4aa666f9b1cb84	143.0	11.0	71.0	108.0	230.0	253.0	175.0	0.0	0.0	46.0
924152634eb0f43132666a740d266fb8	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94891a4fd54fa04633ecee15b54fc5fa	133.0	23.0	22.0	3.0	42.0	6.0	42.0	0.0	0.0	12.0
94ca1389331a3a9230237844cfd545f6	113.0	298.0	236.0	61.0	145.0	115.0	27.0	0.0	0.0	6.0
92e79ed7ceb1f8a9e5d1e86035b0cae3	112.0	25.0	123.0	31.0	17.0	102.0	47.0	0.0	0.0	0.0
4824fe87ef1413e49af31eb4e00ddbd1	105.0	862.0	334.0	42.0	105.0	45.0	58.0	0.0	0.0	1.0
13692c41b4bf5d577c28c278caafcddb	105.0	0.0	135.0	27.0	89.0	1.0	24.0	0.0	0.0	0.0
a54095a893fd5abc045d162bbe20644a	98.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0
2ca928ad9749bb9726c35d6528fefec1	97.0	29.0	10.0	8.0	71.0	56.0	30.0	89.0	51.0	3.0
f83bd8cc6fb090120ecb8222914136e0	97.0	8.0	39.0	3.0	129.0	0.0	44.0	3.0	0.0	8.0
7d452c3b0607078cc0e3a227cdf33b08	94.0	1.0	11.0	5.0	13.0	0.0	0.0	12.0	0.0	0.0
6cb6336657a877312e22f5bff5dd27aa	92.0	0.0	88.0	167.0	160.0	319.0	71.0	0.0	0.0	307.0
f8eff23ce09acb9a04404e9e6387f427	87.0	0.0	0.0	0.0	49.0	0.0	4.0	0.0	0.0	2.0
a113fe4b4d24f4ea22a4dec9691a01c4	85.0	0.0	24.0	31.0	34.0	96.0	16.0	0.0	0.0	105.0
715429e1b5724615a57fe7b1df20da86	82.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0
0e401b8b2b9e6eae62f5293945f5b9a7	82.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
6be678de197b54f9a04f6c984b91ef22	79.0	10.0	30.0	26.0	108.0	33.0	65.0	0.0	0.0	10.0
ddb816d08853c61ba2d07fcaa6891188	79.0	0.0	88.0	14.0	5.0	147.0	58.0	0.0	0.0	12.0
729adc884c6f1c451cb3e125d69084f2	76.0	2.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fdd8fc10037d9e0e2f8cd7d43a210669	71.0	0.0	0.0	0.0	100.0	3.0	25.0	0.0	0.0	141.0
c3d9608c9ea001108c947c63206a8bd0	69.0	9.0	51.0	24.0	103.0	46.0	74.0	21.0	0.0	21.0
9d08191c3aeb5fb8f11e49a1450efa87	54.0	5.0	0.0	0.0	92.0	0.0	37.0	0.0	0.0	0.0
71b03ca57130ce77ca14162f9c29d881	51.0	0.0	19.0	20.0	11.0	15.0	0.0	4.0	0.0	2.0
1b963d0d7457ac133aed9497f03b5a64	48.0	61.0	27.0	0.0	0.0	10.0	0.0	115.0	33.0	5.0
16564bc936c839c893f951bab613a30b	46.0	0.0	3.0	0.0	0.0	2.0	0.0	7.0	0.0	0.0
05a3ad808b1c37b9fcc7d28890cf9bc4	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d8cc3aca1fdc0b5c9ea1008b6763199f	44.0	18.0	41.0	3.0	0.0	36.0	0.0	0.0	0.0	0.0
6f384c926424d43c215fbe9337d55324	42.0	0.0	17.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
12c453822ec329e58d657bbda91d176d	41.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
bc3fcb2b5f5f53acd72beef5c8099a3b	39.0	0.0	203.0	2.0	16.0	13.0	0.0	0.0	0.0	3.0
76d2032108822bcfaa90a4873f7a51aa	39.0	2.0	52.0	3.0	0.0	5.0	15.0	4.0	10.0	0.0
7366a8b464cf765b143c0afc7a833bcd	36.0	1.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
090273c4d5fb0199276332a421810630	36.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
3830e37a7ac6cf83a20dc9b8f225bb69	34.0	4.0	4.0	0.0	7.0	0.0	0.0	13.0	0.0	3.0
d5cb85f53c8718254d9e0fe1035c0f76	34.0	5.0	19.0	5.0	50.0	10.0	65.0	0.0	0.0	15.0
c50cc5322606a05dee3a17ff6ae42ea1	32.0	4.0	14.0	5.0	15.0	20.0	5.0	0.0	0.0	0.0
3cee3e1eb18fec1d27518e5b27052ab9	31.0	0.0	7.0	2.0	280.0	10.0	202.0	1.0	0.0	32.0
b18b389447d758e7cb173b4b4f2ad960	30.0	0.0	2.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0
de391a8294254c47e8f460325eea85f8	29.0	36.0	150.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0
60e7790625cfb0b6925cf7001ca0937c	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0f2a155a57fe6d0bf34767080706b3e1	26.0	0.0	86.0	8.0	29.0	9.0	2.0	0.0	0.0	2.0
cfe7782ee55e41fbc4e805e67f44422c	25.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
471e8d227cfd3427226dccd94335bc35	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45f73e1340277ac9658b26da925310ad	25.0	0.0	133.0	170.0	31.0	120.0	6.0	19.0	0.0	24.0
007ac2c602df5b6ad5d7a3293b682254	23.0	0.0	68.0	0.0	18.0	27.0	3.0	0.0	0.0	4.0
f6ee37332a64183b520c39395069b938	23.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
de7304c389777c8b42fee45f5ddc3b8b	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dca0a0ee7c6d11b3920349464023607a	21.0	0.0	0.0	13.0	54.0	9.0	13.0	0.0	0.0	0.0
3a8cdd5b494e9fdb0077f6bb185b7010	20.0	0.0	98.0	0.0	2.0	11.0	26.0	5.0	5.0	0.0
3a1c2d5547ddb7f76306a042f8bef6a4	19.0	135.0	0.0	7.0	2.0	0.0	39.0	2.0	0.0	0.0
81080b8b4da65136cb40db25a225fb39	18.0	4.0	56.0	2.0	0.0	29.0	13.0	0.0	0.0	0.0
86fd7e5263a8bb81e13841ef0c067758	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4f5fea81ede431a1cac72e3583f8dbfd	18.0	189.0	0.0	4.0	3.0	3.0	0.0	13.0	0.0	0.0
3852d071cb68bbc47bf46d8754fbe1f5	17.0	0.0	47.0	0.0	2.0	24.0	2.0	0.0	0.0	0.0
bd64c378a650c2d14cb34c5cbe224fef	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
003f248f2f841709431141f45c4e0515	16.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0
a0dd34923b255813384a6a1726bc6374	16.0	22.0	0.0	0.0	0.0	0.0	73.0	60.0	0.0	2.0
919dbfc5c2960fb001a3d976d6870f81	16.0	4.0	0.0	6.0	13.0	0.0	0.0	12.0	0.0	0.0
a6f4b150796f493b7c9edc7688cdb58c	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1a9b3d4b2c16f6bb7259838241fdb754	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fe7cf0340e8768e56eb88b28932605c3	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f6bb195f075d463c5e9b620a6a76dbfd	15.0	25.0	45.0	27.0	59.0	43.0	13.0	161.0	20.0	3.0
c0064a44dddd8614fc2a59582ff57b8c	15.0	0.0	0.0	0.0	9.0	0.0	14.0	0.0	0.0	0.0
961271de68426cbf8be892e29fe2459a	14.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ce079042d6deef42d2540cd36d346522	14.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4ea5683e2c2a183c11c45dc8fbd0c67c	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cfc01ed0bafa4bddc7c20e1efa700f90	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
db32e93689ebd016f5588270b63252eb	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7f85283ec73dfc7d3a1b4c048cd54249	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1efa40b072eff680cef56050982580c6	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74c710ed5aade286c93523c7311108dc	12.0	0.0	158.0	14.0	114.0	103.0	133.0	0.0	0.0	21.0
ad07b6fbb9ce0181f1e44ff3fdccd6c1	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88802882135259416b98180ad147afb0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8317ce9878d9aaf83342e8a3acca3dbe	11.0	0.0	21.0	4.0	9.0	39.0	50.0	14.0	9.0	7.0
92a2aee69fff257365a979f636e42540	10.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
7f4909ae8d31a3995fa2c200c690a21f	10.0	0.0	0.0	6.0	0.0	0.0	0.0	15.0	0.0	1.0
1374c09c8f35583a3f3c813b0a99d96f	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b608fc864409cfee060de8502a00c6ed	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b41dd380aa8b0f07b8e161f4c068fdf7	9.0	0.0	0.0	0.0	57.0	9.0	82.0	0.0	0.0	0.0
b119045a1dc2f7d22f8d2aaced12e2cb	9.0	0.0	7.0	3.0	0.0	15.0	0.0	0.0	0.0	9.0
7807545350e0276946a02f1a75172db0	8.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
d54131081e3772db7b5a91f323ad5918	8.0	0.0	0.0	2.0	0.0	11.0	4.0	0.0	0.0	0.0
aef98bf06f5d776e1aff4298d5c70e5d	8.0	0.0	4.0	9.0	6.0	2.0	0.0	0.0	0.0	1.0
3e26fbeade85e6a42a6faa086c344195	7.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	2.0
f6cc9e16778168cb568c2d4afc7dbc5c	7.0	0.0	0.0	3.0	2.0	13.0	0.0	8.0	0.0	668.0
10322b652d5ffe37044fc2af74b722a3	7.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0
0b925631436d3775231b60f9d0011cae	7.0	34.0	0.0	3.0	15.0	2.0	0.0	54.0	0.0	0.0
9b2f263374615ad224d4d37694ef02ff	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0
4f3c59c6f53034ed119390bff672434b	5.0	0.0	0.0	0.0	3.0	11.0	0.0	0.0	0.0	0.0
ffa2c9597f50ead4bf9e998b28ae3c8b	5.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0
213e73d4bf91c1fcc1504a61d90eef18	4.0	0.0	0.0	19.0	14.0	21.0	2.0	0.0	0.0	0.0
793c2ba44aeaac289f254be9b2356dd1	4.0	1.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
3cdd97ba69a504117de24626ba790e96	4.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0
4cdd784ceaf0894a961ff03e9ba70773	4.0	3.0	8.0	0.0	6.0	0.0	56.0	0.0	0.0	8.0
02047d2e2da6d0e73846b63774619e77	4.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
d8a6777829870b41d1544fb173608685	3.0	3.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0
a38073548189f71784ddc7d73bc1484e	3.0	38.0	0.0	5.0	2.0	0.0	0.0	31.0	0.0	0.0
392312a9e881f596fea982e6a9b69100	3.0	8.0	0.0	0.0	11.0	0.0	17.0	0.0	0.0	0.0
5e71ce6d606519730e74d20fd2a8f0fc	3.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	5.0
43bd1f3616b955e356811293e63146d2	3.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
0b9e950ebb48e09e40b16bc5a1290fc7	3.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
75365923dbc6f185395426a52a9d419e	3.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6d1377651053b80df184137ebd18ecae	2.0	0.0	12.0	15.0	0.0	13.0	0.0	0.0	0.0	8.0
c1fa3fc4d07fb84e65a1786194124e2d	2.0	0.0	0.0	0.0	18.0	4.0	0.0	0.0	0.0	0.0
c4aad64f84f51ff331b986a67af4ed3d	2.0	0.0	3.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0
9b0aec5c0d59044434a8286a68ddcf66	2.0	0.0	0.0	0.0	6.0	0.0	0.0	22.0	0.0	0.0
d174fd25211450a7f7b6dbae6db61e2c	2.0	19.0	0.0	0.0	0.0	18.0	7.0	0.0	0.0	3.0
955d8fcbb35e8bc04c8df0c6aae34d34	2.0	21.0	7.0	31.0	144.0	29.0	86.0	11.0	0.0	2.0
a2a318e650ec6ff0edac6f1a8788db01	2.0	3.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0
8c4af4f225be71929fefc4dd3c7b1d58	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	5.0
14d168c89e381de6fc3091837a557e48	2.0	0.0	0.0	6.0	10.0	8.0	0.0	0.0	1.0	22.0
3088e4e704080765a114e6d226302abd	2.0	0.0	2.0	0.0	0.0	2.0	0.0	21.0	0.0	0.0
9d0c0b47ad49dc66b5ebbbfbd75c3c43	1.0	0.0	8.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0
41c686088d124f17c99dcf9bf3acf9d5	1.0	0.0	24.0	0.0	24.0	0.0	0.0	253.0	0.0	0.0
94f0270bf61e49c97e7fb34688750dce	1.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
0bc1bbb235e48d6d4336e9d22907d8c0	1.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
da1cbb3b4a91517cb989f5d1143050fa	1.0	2.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0
fea8bdad574e4aa7a28274438ae570bd	1.0	17.0	0.0	6.0	8.0	0.0	0.0	10.0	0.0	0.0
185df2b73b4805164470dfaea2d05223	0.0	4667.0	0.0	1.0	0.0	0.0	0.0	12.0	0.0	0.0
a0978c38a65399741e7cdf0485582220	0.0	1626.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35106a5f515b16489ff5f899d05fa4b9	0.0	1369.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0
19061922564a942770a235e79982bdf7	0.0	178.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0
22e32134ab7b4cbb56eb758c9981d159	0.0	95.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
fe48a9a8e670bd10c2505c0c9d138061	0.0	49.0	0.0	0.0	0.0	0.0	12.0	31.0	0.0	0.0
0c442d5de690a3b8d760990d7e2ee273	0.0	34.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
