SampleID	LinkerPrimerSequence	BarcodeSequence	BcName	Type	RIBBITR_ID	Species	Date	Location	region	site	survey_time	detection_type	life_stage	sex	snout_vent_length	body_mass_g	bd_swab_tube_id	dry_swab_tube_id	bacterial_swab_tube_id	SampleID	ColoniesBact	ColoniesPast	CFU_bact	CFU_past	Percent_spore	Total bacteria_blue	Total_bacteria_red	No_fields_obs	Dilution factor	Area_mm2	Total_cells_ml	Active_cells_ml	Per_active	Per_dormant	ViableFluorRep1	TotalFluorRep1	ViableFluorRep2	TotalFluorRep2	23644	23408	ViableFluorAvg	TotalFluorAvg	PerViableSpores	S16CopiesRep1	S16CopiesRep1	S16CopiesRep1	S16CopiesAvg
Ca1	N/A	N/A	N/A	N/A	BII0001	Rana muscosa	8/4/22	California	Unicorn	Unicorn	N/A	Capture	adult	m	49	12	RKS35836	BII0001	AJS5023	Ca1	122	10	6.10E+05	1.00E+03	0.163934426	299	240	10	100	4	1.20E+06	960000	80.27	19.73	24706	24459	20906	20697	22601	22375	22737.66667	22510.33333	0.990001906	1.14E+06	1192817	1113296	1.15E+06
Ca2	N/A	N/A	N/A	N/A	BII0002	Rana muscosa	8/4/22	California	Unicorn	Unicorn	N/A	Capture	adult	m	46	12	RKS35837	BII0002	AJS5024	Ca2	550	20	2.75E+06	2.00E+03	0.072727273	303	273	10	100	4	1.21E+06	1092000	90.10	9.90	21107	20896	21834	21616	19180	18989	20707	20500.33333	0.990019478	1.03E+06	1085390	1013030	1.04E+06
Ca3	N/A	N/A	N/A	N/A	BII0003	Rana muscosa	8/4/22	California	Unicorn	Unicorn	N/A	Capture	adult	f	49	14	RKS35838	BII0003	AJS5025	Ca3	524	40	2.62E+06	4.00E+03	0.152671756	318	273	10	100	4	1.27E+06	1092000	85.85	14.15	20268	20066	20165	19964	19102	18911	19845	19647	0.990022676	1.04E+06	1093290	1020404	1.05E+06
Ca4	N/A	N/A	N/A	N/A	BII0004	Rana muscosa	8/4/22	California	Unicorn	Unicorn	N/A	Capture	adult	f	49	13	RKS35839	BII0004	AJS5026	Ca4	218	50	1.09E+06	5.00E+03	0.458715596	303	269	10	100	4	1.21E+06	1076000	88.78	11.22	19833	19635	20109	19908	22065	21845	20669	20462.66667	0.990017256	1.15E+06	1212473	1131642	1.17E+06
C5	N/A	N/A	N/A	N/A	BII0005	Rana muscosa	8/4/22	California	Unicorn	Unicorn	N/A	Capture	adult	f	46	14	RKS35840	BII0005	AJS5027	C5	125	10	6.25E+05	1.00E+03	0.16	308	267	10	100	4	1.23E+06	1068000	86.69	13.31	22695	22469	22719	22492	22345	22122	22586.33333	22361	0.990023466	1.07E+06	1128557	1053320	1.09E+06
Ca71	N/A	N/A	N/A	N/A	BII0071	Rana muscosa	8/10/22	California	Humphreys Basin	Ameletus Lake	N/A	Capture	adult	m	43	7	RKS36362	BII0071	AJS5045	Ca71	198	40	9.90E+05	4.00E+03	0.404040404	311	272	10	100	4	1.24E+06	1088000	87.46	12.54	19949	19750	22609	22383	21587	21372	21381.66667	21168.33333	0.990022605	1.15E+06	1212473	1131642	1.17E+06
Ca72	N/A	N/A	N/A	N/A	BII0072	Rana muscosa	8/10/22	California	Humphreys Basin	Ameletus Lake	N/A	Capture	adult	m	45	10	RKS36363	BII0072	AJS5046	Ca72	220	60	1.10E+06	6.00E+03	0.545454545	320	263	10	100	4	1.28E+06	1052000	82.19	17.81	20304	20101	23226	22994	24651	24405	22727	22500	0.99001188	1.01E+06	1064146	993203	1.02E+06
Ca73	N/A	N/A	N/A	N/A	BII0073	Rana muscosa	8/10/22	California	Humphreys Basin	Ameletus Lake	N/A	Capture	adult	m	44	9	RKS36364	BII0073	AJS5047	Ca73	120	70	6.00E+05	7.00E+03	1.166666667	305	253	10	100	4	1.22E+06	1012000	82.95	17.05	19709	19512	22839	22611	22688	22462	21745.33333	21528.33333	0.990020847	1.19E+06	1249782	1166463	1.20E+06
Ca74	N/A	N/A	N/A	N/A	BII0074	Rana muscosa	8/10/22	California	Humphreys Basin	Ameletus Lake	N/A	Capture	adult	f	52	14	RKS36365	BII0074	AJS5048	Ca74	113	10	5.65E+05	1.00E+03	0.17699115	317	260	10	100	4	1.27E+06	1040000	82.02	17.98	20603	20397	22098	21878	21260	21048	21320.33333	21107.66667	0.990025172	1.04E+06	1088640	1016064	1.05E+06
C75	N/A	N/A	N/A	N/A	BII0075	Rana muscosa	8/10/22	California	Humphreys Basin	Ameletus Lake	N/A	Capture	adult	m	51	12	RKS36366	BII0075	AJS5049	C75	123	10	6.15E+05	1.00E+03	0.162601626	303	250	10	100	4	1.21E+06	1000000	82.51	17.49	22101	21880	21553	21338	22900	22671	22184.66667	21963	0.990008114	1.15E+06	1212473	1131642	1.17E+06
Ca91	N/A	N/A	N/A	N/A	BII0091	Rana muscosa	8/22/22	California	Humphreys Basin	Trapdoor	N/A	Capture	adult	m	57	19	RKS36372	BII0091	AJS5057	Ca91	259	20	1.30E+06	2.00E+03	0.154440154	317	242	10	100	4	1.27E+06	968000	76.34	23.66	20714	20507	20256	20054	21278	21066	20749.33333	20542.33333	0.990023776	9.84E+05	1033528	964626	9.94E+05
Ca92	N/A	N/A	N/A	N/A	BII0092	Rana muscosa	8/22/22	California	Humphreys Basin	Trapdoor	N/A	Capture	adult	f	51	15	RKS36373	BII0092	AJS5058	Ca92	120	30	6.00E+05	3.00E+03	0.5	316	245	10	100	4	1.26E+06	980000	77.53	22.47	22747	22520	20889	20681	20500	20295	21378.66667	21165.33333	0.990021205	9.72E+05	1020600	952560	9.82E+05
Ca93	N/A	N/A	N/A	N/A	BII0093	Rana muscosa	8/22/22	California	Humphreys Basin	Trapdoor	N/A	Capture	adult	f	60	22	RKS36374	BII0093	AJS5059	Ca93	160	30	8.00E+05	3.00E+03	0.375	324	256	10	100	4	1.30E+06	1024000	79.01	20.99	20665	20459	21241	21029	20749	20542	20885	20676.66667	0.990024739	1.12E+06	1179360	1100736	1.13E+06
Ca94	N/A	N/A	N/A	N/A	BII0094	Rana muscosa	8/22/22	California	Humphreys Basin	Trapdoor	N/A	Capture	adult	f	58	22	RKS36375	BII0094	AJS5060	Ca94	330	20	1.65E+06	2.00E+03	0.121212121	317	266	10	100	4	1.27E+06	1064000	83.91	16.09	20718	20511	21165	20954	22102	21881	21328.33333	21115.33333	0.990013284	1.02E+06	1068682	997437	1.03E+06
Ca95	N/A	N/A	N/A	N/A	BII0095	Rana muscosa	8/22/22	California	Humphreys Basin	Trapdoor	N/A	Capture	adult	m	58	21	RKS36376	BII0095	AJS5061	Ca95	145	20	7.25E+05	2.00E+03	0.275862069	306	225	10	100	4	1.22E+06	900000	73.53	26.47	22576	22351	21277	21065	22321	21891	22058	21769	0.986898178	1.09E+06	1141938	1065809	1.10E+06
