SampleID	SampleID2	RIBBITR_ID	Species	Date	Location	region	site	survey_time	life_stage	sex	snout_vent_length	body_mass_g		ColoniesBact	ColoniesPast	CFU_bact	CFU_past	Percent_spore	Total bacteria_blue	Total_bacteria_red	No_fields_obs	Dilution factor	Area_mm2	Total_cells_ml	Active_cells_ml	Per_active	Per_dormant	ViableFluorRep1	TotalFluorRep1	ViableFluorRep2	TotalFluorRep2	ViableFluorRep3	TotalFluorRep3	ViableFluorAvg	TotalFluorAvg	PerViableSpores	S16CopiesRep1	S16CopiesRep2	S16CopiesRep3	S16CopiesAvg	bd_replicates	bd_detected	bd_mean_its1_copies_per_swab	total_peptides_ug	TotalNoSporesTbCl	ViableNoSporesTbCl	TotalNoSporesTbClCorrected	ViableNoSporesTbClCorrected	body_temp_c	lat	long	annual_mean_temp	mean_diurnal_range	isothermality	temp_seasonality	max_temp_warmest_month	min_temp_coldest_month	temp_annual_range	mean_temp_wettest_quarter	mean_temp_driest_quarter	mean_temp_warmest_quarter	mean_temp_coldest_quarter	annual_precip	precip_wettest_month	precip_driest_month	precip_seasonality	precip_wettest_quarter	precip_driest_quarter	precip_warmest_quarter	precip_coldest_quarter	Elevation_M
Pan23	221210C003	221210_C003	Colostethus panamansis	11/18/22	Panama	El Cope	Guabal	N/A	Adult	NA	N/A	N/A		223	14	2.23E+04	140	0.006278027	285	250	10	10	4	7.13E+06	1.00E+06	0.140350877	0.859649123	64221	64869	67433	68113	70805	71519	67486.33333	68167	0.990014719	1.35E+05	1.32E+05	1.36E+05	1.35E+05	1	FALSE	0	NA	166794.6324	-83815.69848	166794.6324	0	22.2	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	552
Pan24	221210C006	221210_C006	Colostethus panamansis	11/18/22	Panama	El Cope	Guabal	N/A	Adult	NA	N/A	N/A		123	20	1.23E+04	200	0.016260163	289	283	10	10	4	8.18E+06	1.13E+06	0.138408304	0.861591696	61058	61674	64111	64758	67317	67996	64162	64809.33333	0.990011727	1.30E+05	1.28E+05	1.32E+05	1.30E+05	1	TRUE	8944.868164	73.188	154450.2696	-83815.69849	154450.2696	0	21.5	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	552
Pan44	221208010	221208_010	Colostethus panamansis	7/28/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		173	10	1.73E+04	100	0.005780347	290	245	10	10	4	7.11E+06	9.80E+05	0.137931034	0.862068966	20783	20992	21823	22042	22915	23145	21840.33333	22059.66667	0.990057269	1.32E+05	1.29E+05	1.33E+05	1.32E+05	1	FALSE	0	20.844	-2717.622549	-83815.69832	0	0	19.6	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
Pan46	221208004	221208_004	Colostethus panamansis	7/23/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		330	20	3.30E+04	200	0.006060606	290	290	10	10	4	1.16E+05	1.16E+05	1	0	62151	62778	65259	65917	68522	69213	65310.66667	65969.33333	0.990015563	1.35E+05	1.32E+05	1.36E+05	1.35E+05	1	TRUE	31465.60547	59.772	158714.9755	-83815.69847	158714.9755	0	20.1	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
Pan22	221208014	221208_014	Colostethus panamansis	11/18/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		125	12	1.25E+04	120	0.0096	293	272	10	10	4	1.17E+05	1.09E+05	0.928327645	0.071672355	68877	69572	72321	73051	75938	76704	72378.66667	73109	0.99001035	1.28E+05	1.25E+05	1.29E+05	1.28E+05	1	TRUE	555.1235352	127.092	184963.75	-83815.69849	184963.75	0	20.1	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
Pan39	221208007	221208_007	Colostethus panamansis	7/26/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		194	20	1.94E+04	200	0.010309278	294	268	10	10	4	1.18E+05	1.07E+05	0.911564626	0.088435374	21085	21297	22140	22362	23247	23481	22157.33333	22380	0.99005064	1.28E+05	1.25E+05	1.29E+05	1.28E+05	1	TRUE	97.78146362	36.81	-1539.926471	-83815.69834	0	0	20.3	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
Pan38	221208009	221208_009	Colostethus panamansis	7/28/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		124	20	1.24E+04	200	0.016129032	296	282	10	10	4	1.18E+05	1.13E+05	0.952702703	0.047297297	53840	54383	56532	57103	59359	59959	56577	57148.33333	0.990002625	1.34E+05	1.32E+05	1.36E+05	1.34E+05	1	TRUE	5331.243164	36.342	126284.8284	-83815.69852	126284.8284	0	20.5	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
Pan12	221120005	221120_005	Colostethus panamansis	11/18/22	Panama	El Cope	Guabal	N/A	Adult	NA	N/A	N/A		163	30	1.63E+04	300	0.018404908	298	235	10	10	4	1.19E+05	9.40E+04	0.788590604	0.211409396	24459	24706	25682	25942	26967	27240	25702.66667	25962.66667	0.98998562	1.35E+05	1.32E+05	1.36E+05	1.34E+05	1	FALSE	0	NA	11631.64216	-83815.69858	11631.64216	0	20.4	8.5128	-81.12274	21.4750004	8.25	80.0970764	44.7975426	26.7000008	16.3999996	10.3000011	21.1499996	21.7166672	22.083334	21.0166664	3425	445	69	41.3896484	1178	348	561	998	552
Pan31	221208017	221208_017	Colostethus panamansis	11/18/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		194	20	1.94E+04	200	0.010309278	299	251	10	10	4	1.20E+05	1.00E+05	0.839464883	0.160535117	61024	61640	64076	64722	67280	67959	64126.66667	64773.66667	0.990011373	1.32E+05	1.29E+05	1.33E+05	1.31E+05	1	FALSE	0	1498.62	154319.1422	-83815.69849	154319.1422	0	19.4	8.68678	-79.92707	22.9041672	7.4083333	81.4102707	53.8287926	27.7999992	18.7000008	9.09999847	22.5333328	23.0499992	23.7166672	22.416666	2589	435	22	66.59021	1064	84	448	924	619
Pan35	221208012	221208_012	Colostethus panamansis	11/18/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		220	10	2.20E+04	100	0.004545455	300	278	10	10	4	1.20E+05	1.11E+05	0.926666667	0.073333333	64132	64779	67339	68018	70706	71419	67392.33333	68072	0.990015474	1.36E+05	1.33E+05	1.37E+05	1.35E+05	1	TRUE	3514.769775	24.384	166445.3676	-83815.69847	166445.3676	0	20	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
Pan47	221208011	221208_011	Colostethus panamansis	7/28/22	Panama	Campana	Rabbit	N/A	Adult	NA	N/A	N/A		318	10	3.18E+04	100	0.003144654	304	292	10	10	4	1.22E+05	1.17E+05	0.960526316	0.039473684	55627	56188	58409	58998	61330	61948	58455.33333	59044.66667	0.990018856	1.36E+05	1.33E+05	1.37E+05	1.36E+05	1	TRUE	77626.09375	64.212	133256.6422	-83815.69846	133256.6422	0	19.6	8.61304	-80.59042	24.5041656	8.00833321	80.8922577	57.1464462	29.8999996	20	9.89999962	24.0333328	24.5333328	25.3666668	23.9500008	2293	401	16	67.6412506	981	69	394	804	619
