site_latitude	site_longitude
-23.34122	-45.11756
-23.33646	-45.14643
-23.64673	-45.91349
-23.33269	-45.09961
-23.34332	-45.14438
-23.65557	-45.88819
-23.6575	-45.90628
-23.64646	-45.86488
-23.34028	-45.15025
-23.34321	-45.1443
-23.64029	-45.84747
-23.34067	-45.14935
-23.34394	-45.12866
8.5987	-80.68389
41.64305	-80.4301
8.68678	-79.92707
8.65217	-80.59049
8.62185	-80.58452
8.60359	-80.68257
8.5128	-81.12274
8.61304	-80.59042
8.65175	-80.5995
8.64229	-80.08838
8.64065	-80.59039
-23.65253	-45.87581
41.71212	-80.38903
41.59313	-80.35629
41.69171	-80.50082
41.63888	-80.49512
41.69128	-80.51248
41.56972	-80.4525
