"response","term","estimate","std.error","conf.low","conf.high","statistic","p.value","sig"
"cells + body_mass","(Intercept)",11.5825,0.2765,11.0096,12.1555,41.8942,0,"***"
"cells + body_mass","LocationCalifornia",2.5433,0.4255,1.6598,3.4268,5.9773,0,"***"
"cells + body_mass","temp_seasonality",-5e-04,0.0011,-0.0027,0.0018,-0.4181,0.6799,""
"cells + body_mass","bd_detectedPositive",5e-04,0.0148,-0.0287,0.0298,0.037,0.9705,""
"cells + body_mass","body_temp_c",0.0111,0.0024,0.0063,0.0158,4.5707,0,"***"
"cells + body_mass","body_mass_g",-0.0014,0.0027,-0.0068,0.004,-0.5124,0.6091,""
"cells + bd_copies","(Intercept)",11.3923,0.2384,10.9117,11.8728,47.7946,0,"***"
"cells + bd_copies","LocationCalifornia",2.3661,0.3694,1.6217,3.1104,6.4051,0,"***"
"cells + bd_copies","LocationPanama",0.0732,0.1893,-0.3082,0.4547,0.3869,0.7007,""
"cells + bd_copies","temp_seasonality",0,9e-04,-0.0019,0.0019,-0.0291,0.977,""
"cells + bd_copies","bd_detectedPositive",0.0047,0.0207,-0.0361,0.0454,0.2247,0.8224,""
"cells + bd_copies","body_temp_c",0.0147,0.0021,0.0105,0.0189,6.9134,0,"***"
"cells + bd_copies","log_bd_copies",-0.0012,0.0029,-0.007,0.0046,-0.3983,0.6907,""
"cells + body_mass + bd_copies","(Intercept)",11.6114,0.2797,11.033,12.1897,41.518,0,"***"
"cells + body_mass + bd_copies","LocationCalifornia",2.5884,0.4305,1.6963,3.4805,6.0119,0,"***"
"cells + body_mass + bd_copies","temp_seasonality",-6e-04,0.0011,-0.0029,0.0017,-0.5291,0.6017,""
"cells + body_mass + bd_copies","bd_detectedPositive",-0.0178,0.0292,-0.0756,0.0399,-0.6111,0.5421,""
"cells + body_mass + bd_copies","body_temp_c",0.0113,0.0024,0.0064,0.0161,4.6186,0,"***"
"cells + body_mass + bd_copies","body_mass_g",-0.0015,0.0027,-0.0069,0.004,-0.5285,0.5979,""
"cells + body_mass + bd_copies","log_bd_copies",0.003,0.0041,-0.0051,0.0112,0.7315,0.4656,""
"active + body_mass","(Intercept)",1.1327,0.4513,0.2413,2.0242,2.5102,0.0131,"*"
"active + body_mass","LocationCalifornia",-0.3306,0.6761,-1.6662,1.0049,-0.489,0.6255,""
"active + body_mass","temp_seasonality",8e-04,0.0018,-0.0027,0.0043,0.4413,0.6596,""
"active + body_mass","bd_detectedPositive",0.9651,0.0491,0.868,1.0621,19.6407,0,"***"
"active + body_mass","body_temp_c",0.0055,0.0082,-0.0106,0.0216,0.6716,0.5028,""
"active + body_mass","body_mass_g",-0.0109,0.0087,-0.0282,0.0063,-1.2535,0.2119,""
"active + bd_copies","(Intercept)",1.7449,0.482,0.788,2.7018,3.6202,5e-04,"***"
"active + bd_copies","LocationCalifornia",0.288,0.7557,-1.2117,1.7877,0.3811,0.7039,""
"active + bd_copies","LocationPanama",-0.3571,0.3875,-1.1261,0.4118,-0.9216,0.359,""
"active + bd_copies","temp_seasonality",-0.0013,0.0019,-0.0051,0.0025,-0.6635,0.5086,""
"active + bd_copies","bd_detectedPositive",1.0002,0.0811,0.8405,1.1598,12.3334,0,"***"
"active + bd_copies","body_temp_c",-4e-04,0.0079,-0.016,0.0153,-0.0441,0.9649,""
"active + bd_copies","log_bd_copies",0.0032,0.0112,-0.0189,0.0253,0.2843,0.7764,""
"active + body_mass + bd_copies","(Intercept)",1.1809,0.4762,0.2401,2.1217,2.4799,0.0142,"*"
"active + body_mass + bd_copies","LocationCalifornia",-0.2591,0.7127,-1.6672,1.1489,-0.3636,0.7167,""
"active + body_mass + bd_copies","temp_seasonality",6e-04,0.0019,-0.0032,0.0044,0.3011,0.7638,""
"active + body_mass + bd_copies","bd_detectedPositive",0.9351,0.1046,0.7285,1.1417,8.9419,0,"***"
"active + body_mass + bd_copies","body_temp_c",0.0058,0.0082,-0.0105,0.0221,0.7055,0.4816,""
"active + body_mass + bd_copies","body_mass_g",-0.0107,0.0088,-0.0281,0.0066,-1.2197,0.2245,""
"active + body_mass + bd_copies","log_bd_copies",0.0046,0.0141,-0.0232,0.0323,0.3253,0.7454,""
"viable + body_mass + bd_copies","(Intercept)",6.9815,4.794,-2.4895,16.4526,1.4563,0.1474,""
"viable + body_mass + bd_copies","LocationCalifornia",1.486,7.1755,-12.6899,15.6619,0.2071,0.8362,""
"viable + body_mass + bd_copies","temp_seasonality",-0.0014,0.0193,-0.0395,0.0366,-0.0746,0.9407,""
"viable + body_mass + bd_copies","bd_detectedPositive",0.4312,1.0528,-1.6487,2.511,0.4096,0.6827,""
"viable + body_mass + bd_copies","body_temp_c",-0.0102,0.083,-0.1742,0.1538,-0.1227,0.9025,""
"viable + body_mass + bd_copies","body_mass_g",0.0419,0.0885,-0.1328,0.2167,0.4739,0.6363,""
"viable + body_mass + bd_copies","log_bd_copies",-0.0247,0.1415,-0.3042,0.2547,-0.1747,0.8615,""
