capture_id	taxon_capture	sample_id_amp	sample_name_amp	total_peptides_ug	date	site	region	country	body_temp_c	substrate_temp_c	microhabitat_detailed	water_temp_c	p_h	tds_ppm	salinity_ppt	soil_moisture_m3_m3	cloud_cover_percent	dissolved_o2_percent	d1_percent_cover	vegetation_cover_percent	air_pressure_mbar	environmental_latitude	environmental_longitude	site_elevation_m
e68cac69-29cc-4790-9e1e-9b287cd1a21e	rhinella_marina	NA	NA	NA	2016-06-09	rio_maria	el_valle	panama	NA	NA	leaf litter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	819
a6793178-4dd5-42d7-9ce1-8f76b2a36b80	lithobates_sphenocephalus	NA	NA	NA	2019-02-26	deer	tennessee	usa	11.3	11.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58b13f6e-bdc6-437b-817d-2971773294f1	lithobates_sphenocephalus	NA	NA	NA	2019-03-12	deer	tennessee	usa	12	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
674117a5-a612-4fdf-a38a-d9f12bc0b589	rana_pipiens	NA	NA	NA	2018-09-28	hatchery	pennsylvania	usa	14.9	14.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
f10d33db-15f8-4550-8c48-f59fffea201b	colostethus_panamansis	NA	NA	NA	2016-06-02	rabbit_stream	altos_de_campana	panama	NA	NA	rock	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	619
cd8f8798-ef8b-4c7e-bbb6-d2e48f2037a6	rana_pipiens	NA	NA	NA	2019-07-05	hatchery	pennsylvania	usa	23.3	23.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9c84b0ec-0e67-49a5-a47e-2f7d0d1f13b1	lithobates_sphenocephalus	NA	NA	NA	2017-03-19	deer	tennessee	usa	12	13.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
276d3088-af53-4eae-a1c4-94f3b2c05ae5	leptodactylus_melanonotus	NA	NA	NA	2016-06-06	rio_maria	el_valle	panama	NA	NA	grass	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	819
c4af4349-a0c3-4422-a74f-66e6691a1725	rana_pipiens	NA	NA	NA	2017-07-06	cow_pit	pennsylvania	usa	20	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2e9a328f-f0a9-4a27-9a94-5914a213341f	rana_sierrae	NA	NA	NA	2024-08-22	10225	california	usa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3493
