lat	long	id	annual_mean_temp	mean_diurnal_range	isothermality	temp_seasonality	max_temp_warmest_month	min_temp_coldest_month	temp_annual_range	mean_temp_wettest_quarter	mean_temp_driest_quarter	mean_temp_warmest_quarter	mean_temp_coldest_quarter	annual_precip	precip_wettest_month	precip_driest_month	precip_seasonality	precip_wettest_quarter	precip_driest_quarter	precip_warmest_quarter	precip_coldest_quarter
-23.34122	-45.11756	1	16.8541660308838	10.1750001907349	55.9065895080566	252.788604736328	25.2000007629395	7	18.2000007629395	19.7999992370605	13.6666669845581	19.9166660308838	13.6666669845581	1775	278	41	60.3077812194824	800	159	765	159
-23.33646	-45.14643	2	17.0583324432373	10.1833333969116	56.2615127563477	251.918395996094	25.2999992370605	7.19999980926514	18.0999984741211	19.9833335876465	13.8666667938232	20.1000003814697	13.8666667938232	1778	278	42	60.1261558532715	800	160	767	160
-23.64673	-45.91349	3	17.2625007629395	8.74166679382324	53.6298561096191	251.180160522461	24.7000007629395	8.39999961853027	16.3000011444092	20.1833324432373	14.1166667938232	20.3166675567627	14.1166667938232	2095	283	78	42.8794059753418	818	273	788	273
-23.33269	-45.09961	4	16.7708339691162	10.1750001907349	56.2154693603516	251.002151489258	25.1000003814697	7	18.1000003814697	19.7000007629395	13.6000003814697	19.8166675567627	13.6000003814697	1769	278	42	60.6213417053223	799	157	764	157
-23.34332	-45.14438	5	17.1083335876465	10.1000003814697	56.1111145019531	252.125823974609	25.2999992370605	7.30000019073486	18	20.0499992370605	13.9166660308838	20.1499996185303	13.9166660308838	1790	279	43	59.725757598877	803	163	770	163
-23.65557	-45.88819	6	17.216667175293	8.75000095367432	53.680980682373	252.247467041016	24.7000007629395	8.39999961853027	16.3000011444092	20.1666660308838	14.0666666030884	20.2999992370605	14.0666666030884	2114	286	78	42.9715538024902	827	275	795	275
-23.6575	-45.90628	7	17.1499996185303	8.73333358764648	53.2520332336426	252.982223510742	24.7000007629395	8.30000019073486	16.4000015258789	20.1000003814697	14	20.2333335876465	14	2112	286	78	42.931770324707	826	276	795	276
-23.64646	-45.86488	8	17.095832824707	8.84166717529297	53.2630500793457	255.275787353516	24.7000007629395	8.10000038146973	16.6000003814697	20.0666675567627	13.8999996185303	20.2000007629395	13.8999996185303	2073	286	76	44.1958541870117	820	263	788	263
-23.34028	-45.15025	9	17.1000003814697	10.1999998092651	56.3535919189453	252.964248657227	25.2999992370605	7.19999980926514	18.0999984741211	20.033332824707	13.8833332061768	20.1499996185303	13.8833332061768	1774	279	42	60.1551628112793	799	159	766	159
-23.34321	-45.1443	10	17.1083335876465	10.1000003814697	56.1111145019531	252.125823974609	25.2999992370605	7.30000019073486	18	20.0499992370605	13.9166660308838	20.1499996185303	13.9166660308838	1790	279	43	59.725757598877	803	163	770	163
-23.64029	-45.84747	11	17.0249996185303	8.89999961853027	53.6144561767578	254.464691162109	24.6000003814697	8	16.6000003814697	19.9833335876465	13.8333330154419	20.1166667938232	13.8333330154419	2038	286	71	45.60791015625	817	250	783	250
-23.34067	-45.14935	12	17.0583324432373	10.1833333969116	56.2615127563477	251.918395996094	25.2999992370605	7.19999980926514	18.0999984741211	19.9833335876465	13.8666667938232	20.1000003814697	13.8666667938232	1778	278	42	60.1261558532715	800	160	767	160
-23.34394	-45.12866	13	16.9458332061768	10.1416664123535	56.0313034057617	252.608749389648	25.2000007629395	7.09999990463257	18.1000003814697	19.8833332061768	13.75	20	13.75	1785	279	43	59.8941688537598	802	162	768	162
8.5987	-80.68389	14	24.3500003814697	7.86666679382324	80.272102355957	54.9379806518555	29.6000003814697	19.7999992370605	9.80000114440918	23.9333343505859	24.3333339691162	25.2000007629395	23.8666667938232	2502	446	26	59.2995491027832	1011	148	439	918
41.64305	-80.4301	15	8.75	10.8000001907349	29.6703300476074	943.328247070312	27.2000007629395	-9.19999980926514	36.4000015258789	20.0166664123535	-2.34999990463257	20.0166664123535	-3.13333320617676	1056	109	55	19.7364749908447	315	189	315	199
8.68678	-79.92707	16	22.904167175293	7.40833330154419	81.410270690918	53.8287925720215	27.7999992370605	18.7000007629395	9.09999847412109	22.533332824707	23.0499992370605	23.716667175293	22.4166660308838	2589	435	22	66.5902099609375	1064	84	448	924
