SampleID	Species	Location	region	site	survey_time	life_stage	sex	snout_vent_length	body_mass_g	bd_swab_tube_id	dry_swab_tube_id	bacterial_swab_tube_id	CFU_bact	CFU_past	Percent_spore_culturing	Total_cells_ml	Active_cells_ml	Per_active	Per_dormant	PerViableSpores	S16CopiesAvg	bd_detected	bd_mean_its1_copies_per_swab	total_peptides_ug	TotalNoSporesTbClCorrected	ViableNoSporesTbClCorrected	body_temp_c	lat	long	annual_mean_temp	mean_diurnal_range	isothermality	temp_seasonality	max_temp_warmest_month	min_temp_coldest_month	temp_annual_range	mean_temp_wettest_quarter	mean_temp_driest_quarter	mean_temp_warmest_quarter	mean_temp_coldest_quarter	annual_precip	precip_wettest_month	precip_driest_month	precip_seasonality	precip_wettest_quarter	precip_driest_quarter	precip_warmest_quarter	precip_coldest_quarter	TotalOTUs	ActiveOTUs	PerActive_Ratio
BR1	Hylodes_phyllodes	Brazil	Boraceia	B3W	day	Adult	NA	23	1.66	BRBd001	BRMic001	BRBac001	190000	3200	0.016842105	1168000	1000000	0.856164384	0.143835616	0.990003546	1123333.333	FALSE	0	38.61	0	0	N/A	-23.6575	-45.90628	17.14999962	8.733333588	53.25203323	252.9822235	24.70000076	8.300000191	16.40000153	20.10000038	14	20.23333359	14	2112	286	78	42.93177032	826	276	795	276	510	324	63.52941176
BR2	Hylodes_phyllodes	Brazil	Boraceia	B3W	day	Adult	NA	28	1.97	BRBd002	BRMic002	BRBac002	153000	2400	0.015686275	1204000	1160000	0.96345515	0.03654485	0.990004294	1113333.333	TRUE	397.294342	78.546	0	0	N/A	-23.6575	-45.90628	17.14999962	8.733333588	53.25203323	252.9822235	24.70000076	8.300000191	16.40000153	20.10000038	14	20.23333359	14	2112	286	78	42.93177032	826	276	795	276	372	241	64.78494624
BR3	Hylodes_phyllodes	Brazil	Boraceia	B3W	day	Adult	NA	31	2.74	BRBd003	BRMic003	BRBac003	183000	5100	0.027868852	1176000	928000	0.789115646	0.210884354	0.990011435	1123333.333	FALSE	0	29.7	0	0	N/A	-23.6575	-45.90628	17.14999962	8.733333588	53.25203323	252.9822235	24.70000076	8.300000191	16.40000153	20.10000038	14	20.23333359	14	2112	286	78	42.93177032	826	276	795	276	367	282	76.83923706
BR4	Hylodes_phyllodes	Brazil	Boraceia	B3W	day	Adult	NA	25	1.12	BRBd004	BRMic004	BRBac004	188000	3400	0.018085106	1208000	1012000	0.837748344	0.162251656	0.9900155	1163333.333	FALSE	0	30.132	0	0	N/A	-23.6575	-45.90628	17.14999962	8.733333588	53.25203323	252.9822235	24.70000076	8.300000191	16.40000153	20.10000038	14	20.23333359	14	2112	286	78	42.93177032	826	276	795	276	609	427	70.11494253
BR5	Hylodes_phyllodes	Brazil	Boraceia	B3W	night	Adult	NA	29	2.02	BRBd005	BRMic005	BRBac005	195000	2900	0.014871795	1224000	1044000	0.852941176	0.147058824	0.990001611	1223333.333	FALSE	0	38.628	0	0	N/A	-23.6575	-45.90628	17.14999962	8.733333588	53.25203323	252.9822235	24.70000076	8.300000191	16.40000153	20.10000038	14	20.23333359	14	2112	286	78	42.93177032	826	276	795	276	NA	NA	NA
BR6	Hylodes_phyllodes	Brazil	Boraceia	B3W	night	Adult	NA	26	1.35	BRBd006	BRMic006	BRBac006	192000	5200	0.027083333	1228000	1004000	0.817589577	0.182410423	0.990009257	1246666.667	FALSE	0	30.216	0	0	N/A	-23.64673	-45.91349	17.26250076	8.741666794	53.62985611	251.1801605	24.70000076	8.399999619	16.30000114	20.18333244	14.11666679	20.31666756	14.11666679	2095	283	78	42.87940598	818	273	788	273	NA	NA	NA
BR7	Ischnocnema_henselii	Brazil	Boraceia	B3W	night	Adult	NA	25	1.39	BRBd007	BRMic007	BRBac007	174000	6300	0.036206897	1168000	904000	0.773972603	0.226027397	0.990000055	1116666.667	FALSE	0	49.302	0	0	N/A	-23.64673	-45.91349	17.26250076	8.741666794	53.62985611	251.1801605	24.70000076	8.399999619	16.30000114	20.18333244	14.11666679	20.31666756	14.11666679	2095	283	78	42.87940598	818	273	788	273	319	208	65.20376176
BR8	Hylodes_phyllodes	Brazil	Boraceia	B3W	day	Adult	Male	30	1.76	BRBd008	BRMic008	BRBac008	202000	6500	0.032178218	1256000	972000	0.77388535	0.22611465	0.990007113	1280000	FALSE	0	69.804	0	0	N/A	-23.64673	-45.91349	17.26250076	8.741666794	53.62985611	251.1801605	24.70000076	8.399999619	16.30000114	20.18333244	14.11666679	20.31666756	14.11666679	2095	283	78	42.87940598	818	273	788	273	577	376	65.16464471
BR9	Hylodes_phyllodes	Brazil	Boraceia	B3W	day	Adult	Male	27	1.91	BRBd009	BRMic009	BRBac009	265000	2900	0.010943396	1272000	1060000	0.833333333	0.166666667	0.990004458	1306666.667	FALSE	0	41.004	0	0	N/A	-23.64673	-45.91349	17.26250076	8.741666794	53.62985611	251.1801605	24.70000076	8.399999619	16.30000114	20.18333244	14.11666679	20.31666756	14.11666679	2095	283	78	42.87940598	818	273	788	273	392	298	76.02040816
BR10	Ischnocnema_henselii	Brazil	Boraceia	B3T	night	Adult	NA	26	1.63	BRBd010	BRMic010	BRBac010	184000	6500	0.035326087	1172000	1004000	0.85665529	0.14334471	0.990009756	1150000	FALSE	0	108.498	0	0	N/A	-23.64673	-45.91349	17.26250076	8.741666794	53.62985611	251.1801605	24.70000076	8.399999619	16.30000114	20.18333244	14.11666679	20.31666756	14.11666679	2095	283	78	42.87940598	818	273	788	273	212	149	70.28301887
