SampleID	SampleID2	RIBBITR_ID	Species	Date	Location	region	site	survey_time	life_stage	sex	snout_vent_length	body_mass_g	ColoniesBact	ColoniesPast	CFU_bact	CFU_past	Percent_spore	Total bacteria_blue	Total_bacteria_red	No_fields_obs	Dilution factor	Area_mm2	Total_cells_ml	Active_cells_ml	Per_active	Per_dormant	TotalFluorRep1	TotalFluorRep2	TotalFluorRep3	AvgFluorTotal	ViableFluorRep1	ViableFluorRep2	ViableFluorRep3	AvgFluorVia	PerViableSpores	TotalNoSporesTbCl	ViableNoSporesTbCl	TotalNoSporesTbClCorrected	ViableNoSporesTbClCorrected	S16CopiesRep1	S16CopiesRep2	S16CopiesRep3	S16CopiesAvg	bd_replicates	bd_detected	bd_mean_its1_copies_per_swab	total_peptides_ug	body_temp_c	lat	long	annual_mean_temp	mean_diurnal_range	isothermality	temp_seasonality	max_temp_warmest_month	min_temp_coldest_month	temp_annual_range	mean_temp_wettest_quarter	mean_temp_driest_quarter	mean_temp_warmest_quarter	mean_temp_coldest_quarter	annual_precip	precip_wettest_month	precip_driest_month	precip_seasonality	precip_wettest_quarter	precip_driest_quarter	precip_warmest_quarter	precip_coldest_quarter	Elevation_M
N/A	N/A	BR_AMPs_97	Hylodes phyllodes	10/3/23	Brazil	Santa Virginia	s2	NA	Adult	N/A	24.7	1.56	25.00	210.00	25000.00	2100	0.084	304	254	10	10	4	121600	102684	0.844440789	0.155559211	24116.52742	24509.89247	25950.92513	24859.11501	23300.47144	22862.27165	23447.57973	23203.44094	0.933397707	7578	1491	7578	1491	142090.00	111374.00	155960.00	1.36E+05	1	NA	NA	NA	14.9	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_AMPs_101	Hylodes phyllodes	10/3/23	Brazil	Santa Virginia	s2	NA	Adult	N/A	21.85	0.93	26.00	159.00	26000.00	1590	0.061153846	304	290	10	10	4	121600	115182	0.947220395	0.052779605	24985.10786	24038.10598	24450.90248	24491.37211	22830.48596	22317.76279	23598.4831	22915.57728	0.935659186	6226	433	6226	433	142174.00	84857.00	114186.00	1.14E+05	1	NA	NA	7.062	15.9	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_AMPs_100	Hylodes phyllodes	10/3/23	Brazil	Santa Virginia	s2	NA	Adult	N/A	19.95	0.69	24.00	366.00	24000.00	3660	0.1525	304	294	10	10	4	121600	111129	0.913889803	0.086110197	25544.15308	26927.9684	25948.31546	26140.14565	24594.46323	25796.04394	24798.68872	25063.06529	0.958795931	12288	8328	12288	8328	79050.00	81507.00	132054.00	9.75E+04	1	NA	NA	18	16.1	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_AMPs_99	Hylodes phyllodes	10/3/23	Brazil	Santa Virginia	s2	NA	Adult	N/A	20.9	1.1	23.00	444.00	23000.00	4440	0.193043478	305	352	10	10	4	122000	108106	0.886114754	0.113885246	24242.5532	23828.74178	23503.28884	23858.19461	22467.47257	21727.65174	23166.28604	22453.80345	0.9411359	3898	-1266	3898	0	119871.00	107962.00	133521.00	1.20E+05	1	NA	NA	NA	16.7	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_207_amp	Hylodes phyllodes	10/18/24	Brazil	Santa Virginia	s2	NA	Adult	N/A	22.8	1.14	37.00	77.00	37000.00	770	0.020810811	306	364	10	10	4	122400	98600	0.805555556	0.194444444	25576.75582	25096.84863	24763.89715	25145.83386	24380.54586	24720.29848	22210.63538	23770.49324	0.945305428	8632	3576	8632	3576	186667.00	158527.00	95171.00	1.47E+05	1	NA	NA	12.102	16.9	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_AMPs_98	Hylodes phyllodes	10/3/23	Brazil	Santa Virginia	s2	NA	Adult	N/A	24.7	1.57	28.00	417.00	28000.00	4170	0.148928571	307	272	10	10	4	122800	98581	0.802776873	0.197223127	25397.89756	25180.41	26564.75482	25714.35412	24213.1611	24390.61388	23794.19626	24132.65708	0.938489723	10722	4907	10722	4907	134042.00	126937.00	141517.00	1.34E+05	1	NA	NA	47.394	17	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_AMPs_107	Hylodes phyllodes	10/3/23	Brazil	Santa Virginia	s2	NA	Adult	N/A	24.7	1.82	19.00	611.00	19000.00	6110	0.321578947	307	376	10	10	4	122800	94829	0.772223127	0.227776873	24849.87588	24405.06968	25149.02807	24801.32454	23447.78297	21938.72019	23092.30805	22826.2704	0.920364973	7366	104	7366	104	151950.00	186976.00	114451.00	1.51E+05	1	NA	NA	NA	17.1	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_AMPs_93	Hylodes phyllodes	10/3/23	Brazil	Santa Virginia	s2	NA	Adult	N/A	20.9	0.84	58.00	47.00	58000.00	470	0.008103448	308	374	10	10	4	123200	114644	0.930551948	0.069448052	25629.58015	25160.2539	26352.45804	25714.09736	23041.73523	23443.2698	24143.34646	23542.78383	0.915559411	10721	2739	10721	2739	142373.00	108040.00	149293.00	1.33E+05	1	NA	NA	25.074	17.6	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_226_amp	Hylodes phyllodes	10/18/24	Brazil	Santa Virginia	s4	NA	Adult	N/A	27.55	1.72	26.00	306.00	26000.00	3060	0.117692308	309	317	10	10	4	123600	109180	0.883333333	0.116666667	25496.68702	24708.60892	25132.06266	25112.45287	24821.79608	24162.84099	22988.24443	23990.9605	0.955341186	8510	4386	8510	4386	108970.00	99714.00	145024.00	1.18E+05	1	NA	NA	NA	17.6	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
N/A	N/A	BR_200_amp	Hylodes phyllodes	10/18/24	Brazil	Santa Virginia	s2	NA	Adult	N/A	30.4	2.4	47.00	458.00	47000.00	4580	0.097446809	309	327	10	10	4	123600	111583	0.902775081	0.097224919	25059.79087	24806.20013	25960.68877	25275.55993	23107.08201	24421.03928	25457.71232	24328.6112	0.962535005	9109	5628	9109	5628	148876.00	133632.00	228373.00	1.70E+05	1	NA	NA	39.882	17.8	-23.33646	-45.14643	17.05833244	10.1833334	56.26151276	251.918396	25.29999924	7.199999809	18.09999847	19.98333359	13.86666679	20.10000038	13.86666679	1778	278	42	60.12615585	800	160	767	160	117
